project_id,project_name,announced_capacity,normalised_capacity_in_megawatt_electrolyser,normalised_capacity_in_normal_cubit_meter_hydrogen_per_hour,normalised_capacity_in_kilo_tones_hydrogen_per_year,normalised_capacity_in_tones_CO2_captured_per_year,IEA_zero_carbon_estimated_normalized_capacity_nm3_H2_per_hour
1121,Hydrogen Mill,2MW,2,444,0,,444
1122,H2-gateway,0.2Mt H2/y,,257,0,,0
1123,Sinopec - Ordos,20kt H2/y,115.4378944,25653,20,,25653
1124,Sinopec - Kuqa,20kt H2/y,115.4378944,25653,20,,25653
1125,MMEX - Texas,,,,,,0
1126,GreenHyScale,100MW,100,21739,17,,21739
1127,EI-H2 - Aghada (phase 1),50MW,50,11111,9,,11111
1128,Green lab skive (Phase II),24MW,12,2667,2,,2667
1129,Khalifa Industrial Zone Abu Dhabi (KIZAD) - phase 1,40kt NH3/y,41.5742717,9239,7,,9239
1130,"HySynergy, phase 3",1000W,700,155556,121,,155556
1134,Green H2 New Zealand - Taranaki,2t H2/d,4.213483146,936,1,,936
1137,Horizon Oil Sands,438000t CO2/y,,,,438000,26212
1138,Cerulean Winds - North Sea,1.5GW,1500,333333,260,,333333
1139,Hyundai Oilbank - Blue H2 Ecosystem,100kt H2/y,,128264,100,,0
1140,Forestal del Atlántico,,,,,,0
1141,SoHyCal,7.5MW,7.5,1442,1,,1442
1142,Bee’ah waste-to-hydrogen,,,,,,0
1143,Industrial Cachimayo,50t NH3/d,19.38977838,4215,3,,4215
1145,Sirea - Castres site,0.43MW,0.43,96,0,,96
1146,Rostock - RWE (future phases),1000MW,900,200000,156,,200000
1147,BASF Ludwigshafen,50MW,50,9615,7,,9615
1148,Davis-Basse Nuclear Power Station,2MW,2,385,0,,385
1149,Prairie Island,1MW,1,263,0,,263
1150,Palo Verde Generating Station,20MW,20,3846,3,,3846
1151,Bruce Nuclear Generating Station,1-5MW,3,667,1,,667
1152,Heysham demonstrator 1,1MW,1,217,0,,217
1153,Heysham demonstrator 2,1MW,1,192,0,,192
1154,Sizewell demonstrator 2,2MW,2,444,0,,444
1155,Kola Nuclear Power Plant,40m3 H2/h,0.18,40,0,,40
1156,Hydrogen Lab Bremerhaven (phase 1),2MW,2,444,0,,444
1157,Hydrogen Lab Bremerhaven (phase 2),10MW,8,1778,1,,1778
1158,Hydrogen Lab Leuna (phase 1),1MW,1,263,0,,263
1159,Hydrogen Lab Leuna (phase 1),5MW,4,889,1,,889
1160,Hydrogen Lab Gorlitz,,,,,,0
1161,Hydrogen Eagle (various hubs),100MW,100,22222,17,,22222
1162,Hydrogen Eagle (various hubs),10MW,10,2222,2,,2222
1163,Hydrogen Eagle (various hubs),15kt H2/y,,19240,15,,19240
1164,Hydrogen Eagle (Litvínov),26MW,26,5778,5,,5778
1165,Hydrogen Eagle (Spolana),18MW,18,4000,3,,4000
1166,Hydrogen Eagle (Spolana),36MW,36,8000,6,,8000
1167,Hydrogen Eagle (various hubs),60MW,60,13333,10,,13333
1168,Sines refinery (phase 1),100MW,100,22222,17,,22222
1169,Sines refinery (phase 2),1000MW,900,200000,156,,200000
1170,Porto do Acu Fortescue Ammonia Project,300MW,300,66667,52,,66667
1171,Hoasis (TCP Gecomp),2.1W,2100,466667,364,,466667
1172,Ecopetrol 50kW electrolyser,50kW,0.05,11,0,,11
1173,H Valle Sur,,,,,,0
1174,METH2 Atacama,300 MW,300,66667,52,,66667
1175,Villa Lisa,200kgH2/day,0.421348315,94,0,,94
1176,Ciudad del Este,,,,,,0
1177,Encarnacion,,,,,,0
1178,TA’ZIZ blue ammonia,1000 kt NH3/y,,230968,180,,0
1179,Badgingarra Renewable Hydrogen Project,10MW,10,2222,2,,2222
1180,BHP Nickel West Green Hydrogen,10MW,10,2222,2,,2222
1181,Dawson Mine,10MW,10,2222,2,,2222
1182,"Candem County (GA), green power plant",15 t H2/d,36.51685393,7022,5,,7022
1183,Pego coal plant transition,1.5t H2/y,8.657842081,1924,2,,1924
1184,Lhyfe offshore electrolyser,2MW,2,444,0,,444
1185,Rajasthan pilot plant,,,,,,0
1186,Morocco-Germany MoU,,,,,,0
1187,Hofors rolling project,17MW,17,3696,3,,3696
1188,Kazakhstan green hydrogen project,30GW,30000,6666667,5198,,6666667
1189,Manilla Solar & Renewable Energy Storage Project,2MW,2,444,0,,444
1190,"Oman green H2 project, phase 2",14GW,9333,2074000,1617,,2074000
1191,AquaVentus (phase 4),10GW,5000,1111111,866,,1111111
1192,EI-H2 - Aghada (phase 2),2.7GW,2650,588889,459,,588889
1193,EI-H2 - Aghada (phase 3),500MW,500,111111,87,,111111
1194,Keadby Hydrogen,1.2GW,,384270,300,,0
1195,New Jersey Offshore Wind plant,5-10MW,7.5,1667,1,,1667
1196,Delicias Solar,35MW,35,7778,6,,7778
1197,Pico Truncado,,,,,,0
1198,Dhamma Energy Guanajuato,,,,,,0
1199,Mexican Green Hydrogen Hub,,,,,,0
1200,Algeciras Bay,237MW,237,52667,41,,52667
1201,Gazifere grid injection,20MW,20,4444,3,,4444
1202,GREEN H2 Langosteira,,,,,,0
1203,Port of Immingham,20MW,20,3846,3,,3846
1204,Pouakai - Taranaki - NH3,3400t NH3/d,,286632,223,,0
1205,Pouakai - Taranaki - H2,600t H2/d,,280899,219,,0
1215,Jintongling Biomass Gasification,200 million m3 H2/y,,22831,18,,22831
1216,Longji New Hydrogen Equipment Project,1.5GW,1500,333333,260,,333333
1217,Khalifa Industrial Zone Abu Dhabi (KIZAD) - phase 2,200kt NH3/y,166.2970868,36955,29,,36955
1218,Veolia wastewater sludge plant,,,,,,0
1219,Egypt Ministry of Electricity and Renewable Energy,,,,,,0
1220,IPCEI Blue Danube - first project,20MW,20,4444,3,,4444
1221,BayH2,,,,,,0
1222,Enid fertiliser,0.7 Mt CO2/y,,,,700000,87764
1223,Ervia CCS - Irving refinery,2.5 Mt CO2/y,,,,2500000,313441
1224,Energean Prinos oil field,2.5 Mt CO2/y,,,,2500000,313441
1225,ArcelorMittal and AirLiquide Dunkirk low-carbon steel,2.85 Mt CO2/y,,,,2850000,357323
1226,CF Fertilisers Ince (part of the HyNet cluster),330kt CO2/y,,,,330000,41374
1227,Sinopec Zhongyuan Oilfield EOR,100kt CO2/y,,,,100000,5985
1228,Changqing Oil Field EOR,50kt CO2/y,,,,50000,2992
1229,Fortescue Future Industries - Port of Pecem,15Mt H2/y,,,,,0
1230,Marítimo Dragão - Qair,296 kt H2/y,,,,,0
1231,RIST Hydrogen Research Centre - nuclear Hydrogen project,,,,,,0
1232,Rhode Green Energy Park,,,,,,0
1233,Lysekil refinery (phase 2),200-500MW,300,66667,52,,66667
1234,KIMA - Aswan electrolyser,165MW,165,35870,28,,35870
1235,Zimbabwe NH3 plant,100MW,100,21739,17,,21739
1236,Polaris CCS - Scotford refinery,750000t CO2/y,,,,750000,94032
1237,Aukra CCS,,,,,,0
1238,ArcelorMittal DRI Gijon,2.3 Mt DRI,,,0,,0
1239,APEX-Plug Power H2 plamt,30 t H2/d,73.03370787,14045,11,,14045
1240,3 x 1250 kW projects in USA,3 x 1250kw,3.75,721,1,,721
1241,1 x 500 kW projects in USA,500kw,0.5,96,0,,96
1242,1 x 500 kW projects in USA,500kw,0.5,96,0,,96
1243,18x180 kW projects in USA,18x180kw,3.24,623,0,,623
1244,4x180 kW projects in USA,4x180kw,0.72,138,0,,138
1245,12 x 120 kW projects in USA,12x120kw,1.44,277,0,,277
1246,2 x 120 kW projects in USA,2x120kw,0.24,46,0,,46
1247,"Frontier Energy, H2@Scale - gasification",75kg H2/d,,35,0,,35
1248,Foresa-Iberdrola Green Methanol (phase 1),20MW,20,4444,3,,4444
1249,Foresa-Iberdrola Green Methanol (phase 2),200MW,180,40000,31,,40000
1250,Danskammer Energy - Newburgh,,,,,,0
1251,Balico - Virginia,,,,,,0
1252,"Harrison Power Project in Cadiz, Ohio",,,,,,0
1253,Western Green Energy Hub,20Mt NH3/y,20787.13585,4619364,3601,,4619364
1254,APA Renewable Methane Demonstration Project,0.005MW,0.005,1,0,,1
1255,Bio-Hydrogen Demonstration Plant,200-400kW,,0,0,,0
1256,Bundaberg Hydrogen Hub,80MW,80,17778,14,,17778
1257,Daintree Microgrid Project,,,,,,0
1258,Christmas Creek Renewable Hydrogen Mobility Project,0.7MW,0.7,135,0,,135
1259,ABEL Energy Bell Bay Powerfuels Project,100MW,100,22222,17,,22222
1260,Grange Resources Renewable Hydrogen,90-100MW,95,21111,16,,21111
1261,Melbourne Hydrogen Hub,10MW,10,1923,1,,1923
1262,Melbourne Hydrogen Hub,50MW,50,11111,9,,11111
1263,Swinburne University of Technology Victorian Hydrogen Hub – CSIRO Hydrogen Refuelling Station,20 kg H2/d,0.042134831,9,0,,9
1264,Agnes Energy Hub,,,,,,0
1265,"Konin Power Plant, phase 2",5MW,2.5,481,0,,481
1266,"Konin Power Plant, phase 3",50MW,45,8654,7,,8654
1267,AquaSector (AquaVentus phase 2),300MW,272,60444,47,,60444
1268,Port of Mukran,14MW,14,3111,2,,3111
1269,H2Mare,14MW,14,2692,2,,2692
1270,"Green Crane - La Robla, Phase 2",200MW,140,31111,24,,31111
1271,"Meirama plant, phase 2",200MW,150,33333,26,,33333
1272,Freienbach plant,10MW,10,2222,2,,2222
1273,"Siemens-Air Liquide Oberhausen, Phase 1",20MW,20,3846,3,,3846
1274,"Siemens-Air Liquide Oberhausen, Phase 1",30MW,10,1923,1,,1923
1275,Trafford Low Carbon Energy Park,200MW,200,44444,35,,44444
1276,Quintero LNG terminal,10MW,10,2222,2,,2222
1277,Wintershall Dea - VNG Turquoise H2 project,400kg H2/d,,187,0,,187
1278,"Green fertilizer project Porsgrunn, phase 3",400kt NH3/y,424.4842902,92279,72,,92279
1279,"Green fertilizer project Porsgrunn, phase 4",520kt NH3/y,127.4944332,27716,22,,27716
1280,Finnmark green NH3,,,,,,0
1281,Yarwun alumina refinery,,,,,,0
1282,H2V Las Tortolas,2kg H2/d,0.004868914,1,0,,1
1283,Sonam Nurboo Memorial Hopsital,25MW,25,5556,4,,5556
1284,Hydrogen hub in Southland,,,,,,0
1285,Hokkaido green hydrogen plant,550 t H2/y,3.174542096,705,1,,705
1286,BP-Shell Trinidad and Tobago green NH3,27200 t H2/y,156.9955364,34888,27,,34888
1287,"MMEX - Pecos, Texas",50t H2/d,121.7228464,23408,18,,23408
1288,Energy-Norweigian Catapult Centre,0.9MW,0.9,196,0,,196
1289,Raven - Republic Services H2 from waste plant,2kt H2/y,,2565,2,,2565
1290,Imperial Oil renewable diesel,500 kt CO2 captured/y,,,,500000,62688
1291,Javelina refinery,,,,,,0
1292,Port of Cromarty Firth,35MW,35,7778,6,,7778
1293,North Dakota Hydrogen Hub (former Great Plains Synfuel Plant),310000t H2/y,,397619,310,,0
1294,Octopus Hydrogen,0.9MW,0.9,196,0,,196
1295,HEVO-Sul,418 t H2/y,2.787953414,536,0,,536
1296,NEL - Nikola Agreement H2 refuelling stations in USA (1st phase),85MW,85,18889,15,,18889
1297,HYVALUE,1600 t H2/y,,2052,2,,2052
1298,SunHy,200 t H2/y,,257,0,,257
1299,H2 Valcamonica,830 t H2/y,4.790672618,1065,1,,1065
1300,H2 Évora - GreenGas I,15t H2/y,0.100046175,19,0,,19
1301,H2 Évora - GreenGas II,60t H2/y,0.300138525,58,0,,58
1302,PRIO ENERGY,140t H2/y,0.933764301,180,0,,180
1303,KEME ENERGY,140t H2/y,0.933764301,180,0,,180
1304,HEVO-Sines,600MW,600,115385,90,,115385
1305,HEVO-Morocco,31kt H2/y,206.7620953,39762,31,,39762
1306,OceanH2,,,,,,0
1307,TAQA-Emirates Steel Green H2,,,,,,0
1308,Salamander,,,,,,0
1309,Cairo Green Hydrogen,,,,,,0
1310,HRS Murcia,5MW,5,1111,1,,1111
1311,Tokyo Sewage-to-H2 plant,40-50 kg H2/d,,21,0,,21
1312,Inner Mongolia green hydrogen,465MW - 66.9 kt H2/y,465,85809,67,,85809
1313,Humber Zero,8Mt CO2/y,,,,8000000,1003012
1314,Heroya Industrial Park,1100 m3 H2/hour,5.06,1100,1,,1100
1315,Esbjerg green hydrogen,1GW,1000,222222,173,,222222
1316,HBIS DRI in Xuanshan,,,,,,0
1317,Hydrogen Utopia waste-to-plastic plant,3t H2/d,,1404,1,,1404
1318,Itochu/Petronas ammonia project,1Mt NH3/y,,230968,180,,0
1319,Lindsey refinery (Humber hub),1.1Mt CO2/y,,,,1100000,137914
1320,ArcelorMittal Hamburg,50MW,50,11111,9,,11111
1321,Power-to-gas Coquimbo,150kW,0.15,33,0,,33
1322,ENERTAG-Sunfire (Prenzlau),10MW,10,2174,2,,2174
1323,Shell heavy residue gasification CCUS - Pernis refinery,1000000t CO2/y - 1000 kt/y,,1282643,1000,1000000,59845
1324,Repsol - Basque Corridor,2.5MW,2.5,543,0,,543
1325,Southland green hydrogen project,500MW,500,111111,87,,111111
1326,TotalEnergies’ Normandy platform - CCUS,,,,,,0
1327,TotalEnergies’ Normandy platform - Electrolysis,,,,,,0
