id,Policy Name,Country,Year,Status,Jurisdiction,Topics,Policy Types,Sectors,Technologies,Description,Total Budget,Total Budget in USD,Governing Body,Target Project,Target Capacity,Beneficiary,Target Year,Period,Emission Goal
161,Recovery and resilience plan / Green energies and techologies/ R&D and innovation,France,2021,In force,National,Technology R&D and innovation,"Payments, finance and taxation, Targets, plans and framework legislation","Industry, Power, Heat and Utilities","Combined heat and power (CHP), Bioenergy supply and transformation technologies, Combustion-based power generation, Electricity generation and CHP technologies, Hydrogen, Hydrogen electrolysis technologies, Materials use and efficiency technologies, Recycling and end-of-life","As part of its Recovery and Resilience plan, the French government plans to allocate EUR 3.4 billion to support research for the development of green technologies, including hydrogen (confirmed and reinforced in latter decisions), recycling, reincorporation of recycled materials, and biofuels.",,,,,"biofuels
",,,,
162,"Recovery, transformation and resilience plan / Inclusive and fair energy transition (III)",Spain,2021,In force,National,"Electrification, Technology R&D and innovation, Renewable Energy","Payments, finance and taxation, Payments and transfers, Grants","Power, Heat and Utilities, Power transmission and distribution, Fuel processing and transformation, Hydrogen production and supply, Power storage, Electricity and heat generation",,"Spain submitted its recovery and resilience plan in April 2021 to the European Commission.  

Within the third pillar of the plan, one component relates to the decarbonisation of the energy sector notably the support of workers whose employment might be adversely affected by the energy transition. The pillar is composed of the following strategies:

Component 7: Development and inclusion of renewable energies: EUR 3 165 million (2021-2023)

Component 8: Electrical infrastructure, promotion of smart grids and deployment of storage facilities: EUR 1 365 million (2021-2023)

Component 9: Roadmap for the integration of renewable hydrogen: EUR 1 555 million (2021-2023)

Component 10: Just transition strategy: EUR 300 million (2021-2023)",,,,Decarbonisation of the energy sector,"Renewable hydrogen roadmap: EUR 1 555 million (2021-2023)
",Workers whose employment might be adversely affected by the energy transition,,2021-2023,
163,Resolution No. PP-5063 On measures for the development of renewable and hydrogen energy in the Republic of Uzbekistan.,Uzbekistan,2021,In force,National,"Technology R&D and innovation, Renewable Energy","Framework legislation, Targets, plans and framework legislation, Technology roadmaps","Power, Heat and Utilities, Fuel processing and transformation, Hydrogen production and supply",,"The adoption of this Resolution of the President is associated with the need to strengthen the country's energy security, create the necessary conditions for expanding the possibilities of using renewable energy sources and the stable development of hydrogen energy, including strengthening the scientific potential of this area. For this purpose, the National Research Institute for Renewable Energy Sources was established under the Ministry of Energy. The main tasks of the Institute are the formation of priority areas for the use of renewable energy sources and the development of hydrogen energy, fundamental and applied research and the development of innovative projects in these areas.",,,,,,,,,
164,Sinopec Green Hydrogen Plant,People's Republic of China,2021,In force,National,,,,Hydrogen,"The Sinopec Green Hydrogen Plant aims to be the Chinese State-owned oil company's first green hydrogen project, generating zero carbon fuel from renewable resources. The project will have a capacity of 20,000 tonnes of hydrogen output and an investment of 2.6 billion yuan. The first phase will involve 10,000 tonnes of hydrogen output powered by a 270 MW solar power station and 50 MW wind farm. The hydrogen produced will be supplied to a coal chemical joint venture project. ",2.6 billion yuan,358097127.0,,,"hydrogen output: 20,000 tonnes of hydrogen output
",,,,
165,Sustainable Growth Programme for Finland,Finland,2021,Announced,National,Technology R&D and innovation,"Payments, finance and taxation, Payments and transfers, Finance, Grants","Economy-wide (Multi-sector), Multipurpose",,"The Sustainable Growth Programme for Finland is a programme funded under the Next Generation EU (NGEU) funding package. In particular, the programme is part of Finland’s Recovery and Resilience Plan (RRF), the main instrument of the NGEU.

The programme supports reforms and investments for the ecological, social and economic sustainability of Finland. The Sustainable Growth Programme is intended to:

-        Abate greenhouse gas emissions;

-        Increase productivity;

-        Increase the employment rate;

-        Accelerate care access procedures;

-        Enhance regional, social and gender equality.

Hence, the programme promotes the green transition, in a context of a welfare-oriented society that improves health and social services and develops a digital economy available to all.

The first application round that makes available energy investment subsidies under the Sustainable Growth Programme takes place from 20 December 2021 to 4 March 2022. The application round is reserved for energy projects worth more than EUR 5 million of investment costs. Eligible projects regard energy infrastructure, new energy technology, hydrogen, carbon capture.

The funding reserved for this investment round amounts to EUR 520 million and 86 applications were received by March 2022. The total amount of aid applied for was EUR 1.65 billion. Projects are located across Finland.",,,Ministry of Economic Affairs and Employment,,,,,,
166,Sustainable growth agenda / Pillar 1 / 2- Supporting the green and digital transition of the industry,Finland,2021,In force,National,"Carbon Capture Utilisation and Storage, Digitalisation, Energy Efficiency, Technology R&D and innovation","Strategic plans, Information and education, Public information, Payments, finance and taxation, Framework legislation, Targets, plans and framework legislation, Climate change strategies, Education and training, Knowledge sharing",Industry,"Manufacuturing technologies and systems, Process heat systems, Steam systems, CO2 Capture, Digital technologies and systems, Battery recycling, CO2 capture and transport technologies, Hydrogen electrolysis technologies, Materials use and efficiency technologies, Metals recycling techniques, Plastics recycling techniques, Recycling and end-of-life, Recycling of cement and concrete","The European Commission has approved Finland's recovery plan on October 4th, 2021. Finland's target is to achieve carbon neutrality by 2035. 

Within the first pillar of the plan, this sub-area is divided into the following initiatives:

- Low-carbon industry reform: reduce significantly emissions from Finnish industries.

- Strategic promotion of the circular economy and reform of the Waste Act

- Streamlining permitting processes: fostering investments by ensuring that the permit processing times are not extended.

- Investment for low carbon hydrogen and carbon capture & recovery in industry (EUR 150 million)

- Investment for the electrification of industrial processes, improvements on energy efficiency, innovation for low-carbon fuels and low-emission solutions (EUR 60 million)

- Investment for the reuse and recycling of key materials and industrial by-products: battery materials, plastics, textiles, electrical & electronic equipment, and construction materials. (EUR 110 million)

- Temporary additional resources for processing environmental permits: hiring out environmental permits & additional staff to process investment applications (EUR 12 million)",EUR 332 million,417921600.0,,,,Finnish industries,2035,,
167,Sustainable growth agenda / Pillar 1/ 1- The framework of the energy system,Finland,2021,In force,National,"Energy Efficiency, Electrification, Renewable Energy","Strategic plans, Payments, finance and taxation, Taxes, fees and charges, Payments and transfers, Externality taxation, Targets, plans and framework legislation, Climate change strategies, GHG taxation, Investment tax incentives","Power, Heat and Utilities, Power transmission and distribution, Fuel processing and transformation, Hydrogen production and supply, Electricity and heat generation","Wind, Solar PV, Geothermal electricity, Electricity generation and CHP technologies, Hydrogen electrolysis technologies, Power transformation and distribution technologies","The Finnish Sustainable Growth Programme supports ecologically, socially, and economically sustainable growth and to meet its target of carbon neutrality by 2035. 

Within the first pillar of the plan, this sub-area is composed of the following measures:

 - Reform to ban the coal energy use by 2029: electricity and heat production should be emission-free by 2030. The coal phase-out will help to achieve this goal.

 - Reform of energy taxation to reduce industrial emissions and create incentives for innovation. 

 - Investments for energy infrastructure: transmission and distribution, energy efficiency of heating infrastructure, inclusion of wind power, innovative technologies and low-carbon gases & hydrogen (EUR 155 million).

 - Investments for the introduction of new energy technologies such as offshore wind power, large-scale solar energy, biogas, renewable fuels for transport, geothermal energy and heat recovery (EUR 155 million).

The target is a total annual emission reduction of 2 Mt CO2eq. by 2026. In addition, the aim is to enable emission reductions from other sectors of the economy through sectoral integration. ",EUR 310 million,390228000.0,,,,,2035,,2 Mt CO2eq. annual reduction by 2026
168,Sustainable growth agenda / Pillar 3 / Research & innovation,Finland,2021,In force,National,"Carbon Capture Utilisation and Storage, Digitalisation, Electrification, Technology R&D and innovation, Renewable Energy","Strategic plans, Payments, finance and taxation, Payments and transfers, Framework legislation, Targets, plans and framework legislation, Climate change strategies","Buildings, Industry, Transport, Power, Heat and Utilities, Economy-wide (Multi-sector), Fuel processing and transformation, Hydrogen production and supply, New buildings","CO2 capture and transport technologies, Hydrogen electrolysis technologies, Materials use and efficiency technologies, Recycling and end-of-life","The European Commission has approved Finland's recovery plan on October 4th, 2021.

Within the third pillar of the plan is the Research and Development (R&D) sub-area. The investments will be directed to R&D projects focusing on the priorities set by the first pillar of the plan (green transition):

- New uses for low-carbon hydrogen (i.e. Power-to-X)

- Electrification and digitalization of processes and machines

- Materials technologies (including reuse and recycling)

- Carbon capture and storage/recovery (CCS/CCU)

- Clean energy solutions

- Increasing the value added of bio-based products (i.e. wood construction)

The investment packages are the following:

- R&D funding promoting the green transition: EUR 192 million

- Research and innovation infrastructure in support of sustainable growth and digitalization structures: EUR 75 million",EUR 267 million,336099600.0,,,,,,,
169,Sweden's Recovery Plan / industrial sector,Sweden,2021,In force,National,"Carbon Capture Utilisation and Storage, Energy Efficiency","Payments, finance and taxation, Payments and transfers",Industry,"Industry sector-specific processes and technologies, Battery technologies, Bioenergy supply and transformation technologies, CO2 capture and transport technologies, Energy storage technologies, Hydrogen electrolysis technologies","Second component of the green recovery measures of Sweden's recovery and resilience plan. To provide support for specific investments to reduce greenhouse gas emissions in the industry sector.     

Measures that are eligible for support are measures that reduce greenhouse gas emissions which are directly or indirectly linked to industrial processes, negative emissions through capture, transport and geological storage of greenhouse gases of biogenic origin or taken outside the atmosphere (CCS). 

In 2021, the program was expanded to finance measures that contribute to reducing greenhouse gas emissions that have an indirect connection with industry processes and other strategically important initiatives in industry that contributes to climate change in the rest of society.     

Historically, applications for support from industrial companies have been focused on production of iron and steel, cement, pulp and paper, chemicals, refineries, electricity and heat. Since the broadening in 2021, applications for support can also apply to e.g. strategically important initiatives such as hydrogen production, battery production for electric cars, recycling facilities for plastics and biorefineries.     

The purpose of Industriklivet is to support the industry to change and contribute to net zero emissions in society 2045. By 2025, the estimated potential long-term emission reduction is 10 million tonnes of carbon dioxide per year. The target is calculated on potential emission reductions based on approved projects during the period 2021–2025.",,,,,,,,,
201,Australia and Japan cooperation agreement on hydrogen and fuel cells,Australia,2020,In force,International,,International collaboration,"Economy-wide (Multi-sector), Hydrogen production and supply","Fuel cells, CO2 capture and transport technologies, Fuel transformation, transportation and above-ground storage technologies, Gasification, Hydrogen, Hydrogen electrolysis technologies, Methane pyrolysis, Methane reformation (incl. SMR, ATR, POx), Other fuel transport vessels, Synthetic fuel production",The joint statement highlights the commitment already in place between the two countries and recognize the importance of cooperation on the deployment of an international hydrogen supply chain.,,,,,,,,,
170,Ten milestones in 2021 - Hydrogen roadmap & Geothermal projects,Colombia,2021,In force,National,Renewable Energy,"Strategic plans, Permitting processes, Targets, plans and framework legislation, Rights, permits and licenses, Technology roadmaps","Power, Heat and Utilities, Fuel processing and transformation, Hydrogen production and supply, Electricity and heat generation","Geothermal electricity, Electricity generation and CHP technologies","During the presentation of the ten milestones of the mining-energy sector in 2021, the Minister of Mines and Energy assured that 2021 will be the year to encourage the sustainable reactivation of Colombia, which will promote equity, development and new opportunities for the country and its regions, in three strategic axes: 1) Energy Transition, 2) Energy security and 3) Mining diversification and formalization.

Among these objectives, one is to develop a hydrogen roadmap & the implementation of geothermal energy:

- A hydrogen roadmap for the next decade will be made public in the first half of 2021, with the support of the Inter-American Development Bank;

- Three geothermal pilots will be developed in the Eastern Plains.

A new hydrogen roadmap from the Ministry is currently being presented for public consultation, including targets for 2030 (achieving an installed electrolysis capacity of 1GW), boosting hydrogen demand in vehicles etc. For its 2030-50 horizon, Colombia aims to export hydrogen and promote its use in the sectors of power generation, aviation, maritime transport and steel industry. ",,,Ministry of Mines and Energy,A hydrogen roadmap & the implementation of geothermal energy,"Installed electrolysis capacity: 1GW (2030)
","Power generation, aviation, maritime transport, and steel industry",2030-50,,
171,UAE and Russia agreement to collaborate on hydrogen development,Russian Federation,2021,In force,International,,International collaboration,Hydrogen production and supply,Hydrogen,"The UAE's Ministry of Industry and Advanced Technology and Russia's Ministry of Industry and Trade signed a memorandum of understanding (MoU) to collaborate on hydrogen development, particularly in the production, storage and transportation of the fuel. Under the agreement, the two countries will collaborate in the manufacture of equipment used in the production, liquefaction and use of raw hydrogen and fuel mixtures that use hydrogen as a main element.",,,,Hydrogen development,,,,,
172,UAE and Russia agreement to collaborate on hydrogen development,Russian Federation,2021,In force,International,,International collaboration,Hydrogen production and supply,Hydrogen,"The UAE's Ministry of Industry and Advanced Technology and Russia's Ministry of Industry and Trade signed a memorandum of understanding (MoU) to collaborate on hydrogen development, particularly in the production, storage and transportation of the fuel. Under the agreement, the two countries will collaborate in the manufacture of equipment used in the production, liquefaction and use of raw hydrogen and fuel mixtures that use hydrogen as a main element.",,,,,,,,,
173,UAE and Russia agreement to collaborate on hydrogen development,United Arab Emirates,2021,In force,International,,International collaboration,Hydrogen production and supply,Hydrogen,"The UAE's Ministry of Industry and Advanced Technology and Russia's Ministry of Industry and Trade signed a memorandum of understanding (MoU) to collaborate on hydrogen development, particularly in the production, storage and transportation of the fuel. Under the agreement, the two countries will collaborate in the manufacture of equipment used in the production, liquefaction and use of raw hydrogen and fuel mixtures that use hydrogen as a main element.",,,,Hydrogen development,,,,,
174,UAE and Russia agreement to collaborate on hydrogen development,United Arab Emirates,2021,In force,International,,International collaboration,Hydrogen production and supply,Hydrogen,"The UAE's Ministry of Industry and Advanced Technology and Russia's Ministry of Industry and Trade signed a memorandum of understanding (MoU) to collaborate on hydrogen development, particularly in the production, storage and transportation of the fuel. Under the agreement, the two countries will collaborate in the manufacture of equipment used in the production, liquefaction and use of raw hydrogen and fuel mixtures that use hydrogen as a main element.",,,,,,,,,
175,UK Green Distilleries,United Kingdom,2021,In force,National,Renewable Energy,"Payments, finance and taxation, Targets, Framework legislation, Targets, plans and framework legislation, Grants","Power, Heat and Utilities","Geothermal electricity, Biomass and renewable waste, Hydrogen","Eleven distilleries in Scotland and six in England will receive the first phase of GBP 10 million government funding to go green by harnessing energy sources such as low-carbon hydrogen, biomass and repurposed waste. The funding will enable distilleries to cut emissions by almost a million tonnes of CO2 every year.

The successful distilleries will receive between £44,000 and £75,000 in the first phase of funding, helping them boost decarbonisation research and development, with schemes including the use of hydrogen and biofuel boilers and geothermal energy in their production processes.",£10 million,10773000.0,"Department for Business, Energy and Industrial Strategy (BEIS)","The target projects include developing hydrogen and bioenergy projects, switching to renewable energy sources, improving energy efficiency, and using low-carbon hydrogen, biomass, and repurposed waste","Carbon emissions: Reduction of almost a million tonnes of CO2 every year
",Distilleries in Scotland and England,,,
176,University Hydrogen Turbine System Research,United States,2021,In force,National,"Technology R&D and innovation, Renewable Energy","Payments, finance and taxation, Grants","Power, Heat and Utilities, Power generation, Electricity and heat generation","Combustion-based power generation, Electricity generation and CHP technologies, Hydrogen","The US Department of Energy announced USD 6.2 million in federal funding for eight university-led R&D projects aimed at advancing hydrogen as a high-performing, efficient gas for turbine-based electricity generation. 

The projects, supported by the DOE Office of Fossil energy's “University Turbines System Research (UTSR)” program will study barriers to the performance and efficiency of combustion of turbines fuelled with pure hydrogen, hydrogen and natural gas mixtures, and other carbon-free hydrogen containing fuels.",,,,University Turbines System Research (UTSR),"Turbines fueled with other carbon-free hydrogen containing fuels
",,,,
182,Recovery and resilience Plan/Hydrogen Plan,France,2020,In force,National,Technology R&D and innovation,"Strategic plans, Targets, plans and framework legislation","Fuel processing and transformation, Hydrogen production and supply","Building envelope technologies, Industry sector-specific processes and technologies, Chemicals and plastics, Hydrogen and CO/CO2-based chemicals, Hydrogen electrolysis technologies","As part of its Recovery and Resilience Plan, the French government is putting forward its hydrogen strategy.  

Three priorities are listed: 1. Diminishing GHG emissions for the industry 2. Developing heavy hydrogen industry 3. Supporting R&D for training. The aim is to scale at industry-level to reduce production and technology costs.   

The plan is expected to create 50,000 to 100,000 jobs by 2030.  ",€39.4 billion in grants,49596720000.0,French authorities,"Diminishing GHG emissions for the industry, Developing heavy hydrogen industry, Supporting R&D for training",,"Various sectors and industries, including healthcare, education, youth employment, and digital technologies",2026,Completion by August 2026,
177,Canada hydrogen strategy,Canada,2020,In force,National,People-Centred Transitions,"Strategic plans, Professional / Vocational training and certification, Targets, Targets, plans and framework legislation",,,"Canada sees a sizeable role and competitive advantage in the production, distribution and use of hydrogen given its abundance of feedstocks, skilled workforce and existing position as a leader in intellectual property and export of hydrogen technologies. Hydrogen is expected to form a key plank of Canada’s pathway to meeting its net-zero goals. In December 2020, Canada published the Hydrogen Strategy for Canada, designed to spur investments in hydrogen production and use, and create partnerships that establish Canada as a global supplier of hydrogen. Early actions outlined in the Strategy can be supported by several programmes identified as part of the government’s Strengthened Climate Plan, “A Healthy Environment and a Healthy Economy”, and the 2021 federal budget. This includes a CAD 1.5 billion (EUR 1 billion) Clean Fuels Fund that supports the build-out of new clean fuel production capacity (including hydrogen) and the CAD 8 billion (EUR 5.3 billion) Net-zero Accelerator that supports industrial decarbonisation. If the hydrogen opportunity outlined in the Strategy is fully seized, it is estimated that by 2050 over 350 000 new high-paying jobs could be created nationally as well as revenues in excess of CAD 50 billion (EUR 34 billion), relative to the 832 500 direct and indirect jobs in the energy sector in 2019.",CAD 1.5 billion,1110000000.0,Government of Canada,Clean Fuels Fund and Net-zero Accelerator,"Clean fuel production capacity (including hydrogen)

",Energy sector,2050,,
178,US hydrogen workforce development programmes,United States,2020,In force,National,People-Centred Transitions,"Professional / Vocational training and certification, Climate change strategies",,," The US Department of Energy (DOE) launched two new efforts in 2020 targeting workforce development, training and STEM education. The Hydrogen Education for a Decarbonized Economy (H2EDGE) aims to develop and grow the emerging industry workforce to advance hydrogen technologies and end-use applications through regional hubs. The programme seeks to improve workforce readiness through training and education, including by developing materials and offering professional training courses and developing university curriculum content. It also plans to collaborate with industry and university partners to develop certifications, credentials, qualifications and standards for training and education. In September 2020, the DOE awarded a USD 2 million contract under the initiative to a consortium of research organisations, including the Electric Power Research Institute (EPRI), the Gas Technology Institute (GTI), Oregon State University, Purdue University and the University of Delaware. Primary funding for the project comes from DOE's Office of Energy Efficiency and Renewable Energy's Hydrogen and Fuel Cell Technologies Office (HFTO), with supplemental support from the Low-Carbon Resources Initiative, jointly led by EPRI and GTI, along with participating universities.  H2EDGE is both focused on developing a newly trained workforce and on helping the current labour force transition into jobs in the hydrogen sector through increased industry coordination and workforce planning efforts. H2EDGE is part of the broader workforce development project, GridEd, that now includes hydrogen to the technical programme that covers power systems, distributed resources and digital systems. The programme will address hydrogen workforce development skills in four technical areas: production, delivery, storage and use. DOE’s HFTO in June 2020 also announced USD 20 million in funding to the University of Tennessee to support workforce development in new energy technology areas (including hydrogen and fuel cells), in partnership with Oak Ridge National Laboratory and Oak Ridge Institute. The five-year, interdisciplinary programme will focus on research and development in emerging technical fields, such as energy system resilience. ",,,U.S. Department of Energy,Hydrogen Education for a Decarbonized Economy (H2EDGE),,Emerging industry workforce in hydrogen sector,,,
179,UK Green Jobs Taskforce and North Sea Transition Deal,United Kingdom,2020,In force,National,People-Centred Transitions,"Strategic plans, Professional / Vocational training and certification, Targets, Targets, plans and framework legislation, Climate change strategies",,,"As part of the UK government’s climate strategy and green recovery efforts from Covid-19, the government in 2020 set up the Green Jobs Task force, comprised of 17 experts from industry, academia, labour unions, and the education and skills sector. The group undertook a study over the period from November 2020 to July 2021. The task force is part of the government’s Ten Point Plan for a Green Industrial Revolution, launched by the Prime Minister in November 2020. The plan directs GBP 12 billion in government funding, covering the energy, transport and industry sectors, to support a green recovery and support job creation. Specifically, the plan is expected to support the creation of up to 250 000 green jobs – including engineers, fitters, construction workers among many others – by 2030. Sectors for new investment include offshore wind, hydrogen, advanced nuclear, zero emissions vehicles, green buildings and CCUS. The strategy builds off the Lifetime Skills Guarantee, announced by the government in September 2020, which aims to better align the post-16 education system with company needs in order to set up workers to meet the skills gaps of today and the future, in sectors such as construction, digital, clean energy and manufacturing. In early 2021, the programme launched almost 400 qualifications that are fully-funded for any adult who has not already achieved a Level 3 qualification. The 15 final recommendations of the Green Jobs Task Force – divided along three themes of the ‘green jobs lifecycle’ – are meant to support the government’s ambition for two million green jobs in the United Kingdom by 2030 and help establish the workforce pathway to net zero emissions by 2050. It notes research commissioned by the Climate Change Commission that found that overall the United Kingdom’s transition to net zero emissions will increase GDP by around 2- 3%, and create about 300 000 additional jobs by 2050. The green jobs lifecycle is defined as employment in an activity that either directly or indirectly contributes to the United Kingdom’s net zero emissions target and mitigates climate risks, and therefore covers a broad range of economic sectors. It builds upon reforms to the skills system established under the government’s Skills for Jobs White Paper that introduced new T Levels technical qualifications, flexible apprenticeships, Skills Bootcamps and occupational traineeships.  The task force’s report notes that one in five jobs in the United Kingdom (6.3 million workers) will require skills that may see increased demand (10% of UK jobs) or reduced demand (approximately 10%) as a result of the net zero transition. The report also includes estimates of job creation potential in various clean energy sectors (such as offshore wind and buildings retrofits) as well as jobs and skills shifts in sectors experiencing significant transformation (such as automotive).  For example, on a sectoral basis, the offshore wind sector is poised for major growth. Based on industry estimates, the sector could employ 40 000 directly and an additional 30 000 through the supply chain, relative to around 26 000 today. These jobs will be concentrated in construction, installation, operations and maintenance, requiring technicians and engineers, in particular. Nonetheless, a broad set of skills is needed for ongoing sectoral development, including asset management, project management, engineering and technical skills, science, advanced first aid and rescue, and offshore-specific skills. A number of these skills are particularly well-suited for current oil and gas sector workers. Similarly, some of the skills gaps in CCUS and hydrogen could be met with the current oil and gas workforce, such as pipe fitters and designers, leak test technicians, and offshore barge operators. The United Kingdom’s offshore oil and gas sector, notably, has been an important pillar of the country’s economy and energy security for many decades, and will face significant change on the path to net zero. It is estimated that the sector supports around 260 000 jobs, including 147 000 direct and supply chain jobs.Already, between 2014 and 2017, the UK oil and gas sector lost over 70 000 direct and supply chain. Another 80 000 workers are predicted to lose their jobs in the sector between 2018 and 2035.  However, over 90% of the United Kingdom’s oil and gas workforce have medium to high skills transferability so can be suitable to work in other energy sectors, including decommissioning and subsea network projects, offshore wind, CCUS and hydrogen.  The offshore oil and gas industry has supported the United Kingdom’s target to reach net zero emissions by 2050 based on the sector’s Roadmap 2035. This includes a focus on developing people and skills with a commitment to a diverse workforce with transferable skills and to support 130 000 jobs across the energy sector. It also commits the industry to becoming a global leader in carbon management through by fostering knowledge, skills, innovation and capabilities. Key actions will include upskilling workers on the UK Continental Shelf, developing of a plan for a more flexible, multi-skilled and technology-enabled workforce, and ensuring diversity that reflects broader society.  As part of the government’s climate change strategy, it also reached an agreement with the North Sea oil and gas industry to manage the economic transition and transformation of the region. The North Sea Transition Deal includes public and private investments of up to GBP 14-16 billion by 2030 in clean energy technologies, a voluntary commitment by the sector to source 50% local content for energy transition projects by 2030, and support for up to 40 000 direct and indirect jobs as part of efforts to decarbonise offshore oil and gas production.  The commitment to employment will include reskilling of the existing oil and gas workforce. Technologies that will be promoted based on existing skills, infrastructure and expertise in the North Sea include CCUS, hydrogen and offshore wind. The agreement notes that sectors such as offshore renewables, CCUS and hydrogen will rely heavily on a number of skillsets that match the profile of current oil and gas workers, such as geologists, project managers, different types of engineers, and fabricators. As such, the sector will aim to align with initiatives on workforce transition, skills, diversity and inclusion under other Sector Deals (such as the Offshore Wind Sector Deal), where synergies can be found. However, a deeper understanding of the future skills profile of the CCUS and hydrogen sectors will also be needed. Toward this end, the Energy Skills Alliance has spearheaded work on detailed mapping the energy sectors’ current capabilities and future needs through its Future Energy Skills Demand and Supply workstream. ",,,Green Jobs Taskforce,,,Green jobs in various sectors,2030,,Net zero emissions by 2050
180,Envision Group helps bring cities in China to net zero,People's Republic of China,2020,In force,National,People-Centred Transitions,"Strategic plans, Targets, Targets, plans and framework legislation, Climate change strategies",,,"Envision Group is one of China’s leading green technology companies, and among the world’s top wind turbine suppliers. More recently, it has supported local governments in China achieve carbon neutrality, in line with China’s national 2060 target. In 2020 Envision Group began discussions with the government of Inner Mongolia to develop a Net Zero Industrial Park in the cities of Ordos and Baotou. Ordos is the world’s largest city-economy powered by coal, and currently produces around 16% of China’s coal. As a result, Ordos is under enormous pressure to transition to clean power sources, while ensuring energy access and power system flexibility. The Net Zero Industrial Park planned by Envision is the first of its kind in China. It will be used to generate green hydrogen that will reduce Ordos’ coal consumption in industry (currently planning 10 x 1,000Nm3/h electrolysers), and lay the foundation for the production of synthetic biomaterials. The Park will also include an 8 GWh/year plant for energy storage and batteries, with phase one of three due to be completed at the end of 2021. A smart grid will co-ordinate the use and distribution of renewable energy. The project aims to further reduce emissions by replacing 330 000 trucks for coal transport with EV trucks. These will cut 30 million tons of GHG emissions per year, and save RMB 30 billion in operation costs. By drawing on 100% locally sourced renewable energy at 5 TWh/year (80% direct supply), the Industrial Park’s operations would be net zero.  ",,,,Net Zero Industrial Park in the cities of Ordos and Baotou,"EV trucks: 330,000 trucks for coal transport
",Ordos and Baotou cities,,,
181,Stimulation of sustainable energy production and climate transition (SDE++),Netherlands,2020,In force,National,"Carbon Capture Utilisation and Storage, Renewable Energy","Strategic plans, Payments, finance and taxation, Payments and transfers, Targets, plans and framework legislation, Major infrastructure plan, Grants","Industry, Power, Heat and Utilities, Power generation, Fuel processing and transformation, Hydrogen production and supply, Electricity and heat generation","CO2 transportation, CO2 storage, CO2 capture and transport technologies","In 2020, the scope of the previous subsidy scheme, SDE+, was broadened from renewable energy production to other CO2 emission reduction measures such as CCS within the SDE ++ scheme.The SDE++ is a subsidy scheme targeting technologies related to low carbon power and CO2 sequestration. Only industries, companies and non profit organisations can apply to the programme. 

There are five main categories for this scheme: 

1. Renewable electricity (Hydropower, wind, solar...)

2. Renewable heat (solar thermal, geothermal, biomass combustion…)

3. Renewable gas (biomass fermentation or gasification)

4. Low CO2 heat (electric boiler, industrial heat pump…)

5. Low CO2 production (CCUS, hydrogen…)

The grant is distributed over the span of up to 12 to 15 years, depending on the technology. The funding allocated is computed according to the amount of energy the firm produces or the amount of avoided emissions related to the technology. 

In 2020 and 2021, EUR 5 billion grants were available through this programme. 

In the 2020 round, the CCUS project in the Port of Amsterdam will contribute to sequester 2.5 million tons of CO2 per year, through a EUR 2.1 billion investment. EUR 2 billion were distributed to solar and wind projects with the rest towards energy efficiency in industry.",EUR 5 billion,6294000000.0,,"[{'item': 'CCUS project in the Port of Amsterdam', 'budget': 'EUR 2.1 billion'}, {'item': 'Solar and wind projects', 'budget': 'EUR 2 billion'}, {'item': 'Energy efficiency in industry', 'budget': 'Not specified'}]",,"Industries, companies, and non-profit organisations",,,
183,Self-Reliant India Scheme - Production-Linked Incentive (PLI) Scheme,India,2020,In force,National,"Technology R&D and innovation, Renewable Energy","Strategic plans, Payments, finance and taxation, Targets, plans and framework legislation, Domestic manufacturing incentive","Industry, Manufacturing","Solar PV, Battery technologies, Digital technologies and systems, Electricity generation and CHP technologies, Energy storage technologies, Other digital technologies and systems, Photovoltaic technologies","In the framework of the Atmanirbhar Bharat ('Self-Reliant India') Programme, the Production-Linked Incentive (PLI) schemes aim at enhancing Indian manufacturers' competitiveness, attracting investments in cutting-edge technology, creating efficiencies and economies of scale as well as enhancing exports. PLIs for 10 sectors were set up in November 2020, including manufacturing of High Efficiency Solar PV Modules and  Advanced Chemistry Cell (ACC) Battery. The former is to incentivize domestic and global companies to build large-scale domestic solar PV capacity and the latter is to attract investments by large domestic and international firms in the ACC sector.  

Additional amounts were enacted in September 2021, notably for the automobile industry, specifically aiming at encouraging the manufacturing of electric and hydrogen-based vehicles.

This policy also has a digitalization angle, and aims at boosting the production of electronic products in India.",,,,High Efficiency Solar PV Modules and Advanced Chemistry Cell (ACC) Battery,"ACC sector
",Indian manufacturers,,In force,
